Product_name,Price,Date
Fashion Women's Short Sleeve Dress Evening Dresses,KSh 840 - KSh 850,2023-04-26
Fashion Ladies Fashion Office Dresses Turkey Floral - Blue,KSh 980,2023-04-26
Fashion Women Shoes Ladies Shoes Sneakers Women Shoes,KSh 489 - KSh 599,2023-04-26
Fashion Women Earring Set - 9 Pair,KSh 495,2023-04-26
Fashion Sneakers Women Shoes Women's Shoes Ladies,KSh 699,2023-04-26
Fashion Ladies Official Long Turkey Dresses - Black,"KSh 1,000",2023-04-26
Fashion Diamond Jewelry Engagement Wedding Ring Silver For Women,KSh 236,2023-04-26
Fashion Ladies Fashion Zircon Diamond Engagement Wedding Ring Jewelry- Gold,KSh 299,2023-04-26
Fashion 4 In 1 Women Bags Ladies Handbags Tote Bag Purse,KSh 727,2023-04-26
Fashion Women's Diamond  Jewelry Pearl Heart Golden Ball Stud Earrings Set - 9 Pairs,KSh 455,2023-04-26
Fashion Crystal Necklace Stud Earrings Ring Set Gold,KSh 470,2023-04-26
Fashion 3 In 1 Women Bag Ladies Handbag Sling Bag Purse,"KSh 1,091",2023-04-26
Fashion 4 In 1 Women Bag Tote Crossbody Bag Handbag Different Capacity Combination Bag Set Wallet,KSh 727,2023-04-26
Fashion 6 Pairs/Set Jewelry Women's Fashion Stud Diamond & Pearl Earrings Gold,KSh 490,2023-04-26
Fashion Women's High Quality Wedding Ring - Gold Plated,KSh 108,2023-04-26
Fashion Men's Sneakers Fashion Shoes  Men's Shoes,"KSh 1,190",2023-04-26
Fashion Men Sneakers Men's Fashion Sneakers Sports Casual Fashion Men's Shoes-white,KSh 999,2023-04-26
Fashion 2 Piece Men's T-Shirt & Shorts Set,"KSh 1,180",2023-04-26
Fashion 2022 Mens Casual Classic Shoes Running Sneakers - White,"KSh 1,699",2023-04-26
Fashion 5 Pcs Mens Cotton T-shirts Short Sleeve Tees,"KSh 2,500",2023-04-26
Fashion Men's Casual Long Sleeve Shirts Trendy Sweatshirts - Red,KSh 880,2023-04-26
Fashion Men's Tooling High-top Platform Martin Boots,"KSh 1,699 - KSh 1,799",2023-04-26
Fashion Knitted Beaines Skullies Beanies Bonnet--Navy Blue,KSh 795,2023-04-26
Fashion Mens Leather Shoes Men's Office Leather Shoes Casual Tide Peas Men's Shoes,"KSh 999 - KSh 1,199",2023-04-26
Fashion Mens Vintage Graffiti Shirts Printed Button Down Casual T-Shirts,KSh 780,2023-04-26
Fashion Mens Solid Long Sleeve Dress Shirts,KSh 890,2023-04-26
Fashion Mens Long Sleeve Dress Shirts,KSh 967 - KSh 980,2023-04-26
Fashion Mens Casual Hoodies Business Sport Jackets Coat - White,KSh 840,2023-04-26
Fashion Mens Solid Long Sleeve Dress Shirts,KSh 890,2023-04-26
Fashion Men's Casual Long Sleeve Shirt-PUEPLE,KSh 912,2023-04-26
Daima Daima Fino Milk 500ml â€“ Pack of 12,KSh 630,2023-04-26
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,076",2023-04-26
Soko Maize Meal - 5Kg,KSh 535,2023-04-26
Ajab Ajab Home Baking Flour – 2kg,KSh 189,2023-04-26
Seagrams Seagrams Imperial Blue Whiskey - 750ml,KSh 752,2023-04-26
Smirnoff Smirnoff Ice Guarana Can - 330ml - Pack Of 6,KSh 939,2023-04-26
Menengai Menengai Cream Bar Soap - 800g,KSh 265,2023-04-26
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 2,768",2023-04-26
Pembe Pembe ATTA MARK - 2Kg,KSh 210,2023-04-26
Ranee Ranee Spaghetti Standard – 400g,KSh 103,2023-04-26
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,641",2023-04-26
"Campo Viejo Reserva Red Wine - 750 ML,","KSh 1,728",2023-04-26
